	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Oct 24 23:27:07 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          262144    2048  1733264  2092200  3195401  2664986  2817809  1857108  3438135   6815514   3446898  1577591  1673404  3450435  2805357
          262144    4096  1781134  2071642  3136257  2854015  2755172  1897653  3149517   6823847   3158891  1518539  1660430  3527899  2828327
          262144    8192  1712968  2023512  3469434  2630015  2809536  1843046  3140987    115131   3133441  1598606  1684102  3137268  2791256
          262144   16384  1527174  1666427  2691801  2375612  2340946  1568325  2932525    776755   3990738  1419464  1502989  2590128  2321212
          524288      64  1342066  1364015  2081236  1877969  2032046   730488  2446820   4771680   1976073  1364868  1417565  2532390  2341374
          524288     128  1150546  1461678  2690644  2453900  2161381  1421339  2557379   5663501   2094094  1431367  1493331  2679693  2452819
          524288     256  1213741  1525383  2725838  2495683  2273541  1551933  4561240  10465867   4377273  2942345  1561078  2645820  2465682
          524288     512  1653509  1563443  2773627  2620156  2474561  1678931  2814800   5784227   2675416  1548161  1610631  4613537  5087460
          524288    1024  2181915  1653331  2757828  2679119  3588110  3475371  5191679  12011479   3050598  3008742  2403491  2936859  2690131
          524288    2048  1642655  2753512  5292579  5285849  5224278  3566902  2960224   6789983   2946216  2377173  2268075  3305103  4444026
          524288    4096   697072  3319246  3418317  2895849  5158541  3626304  5307640  12539492   3536516  2962414  2557863  2988961  2675445
          524288    8192  1848747  3451761  2488030  3781868  1708591  2475764  4629271    406986   2852692  1262435   660079  3417137  2870971
          524288   16384   591820   600052  3333298  3251964  2528872  2609008  4243491   1364679   3986042  2139384  1966099  4031777  4538431

iozone test complete.
